label	classification
3to4	theorem-like
3to5	theorem-like
3to5tcpm	figure
4to2	theorem-like
AA=A	equation
AppKxKy=0	figure
AppPsiPhi	equation
AppUkU=rl	figure
AppendixLooseEnds	section
AppendixMPV	section
AppendixMixed	section
AppendixPure	section
Appetakhetc	figure
ApprhoNComm	equation
Apptralktrrk	equation
CFK	figure
CorollarytoProp	theorem-like
Corr	equation
Def-equiv-pure	figure
DefLO	definition
DefQk	definition
DefinitionZCL	definition
EasEkk	equation
Ek	equation
Ekk	equation
Eq19	figure
Ex:ZCL	example
ExSALnoZCL	example
ExZCLnoSAL	example
Figure11	figure
Figure9	figure
III_CFI_RFP	equation
III_cor3	theorem-like
II_cor2	theorem-like
K=MM	figure
KAXBKAXKXB	equation
KBNTs	figure
Kidentity	figure
KxKy=0	figure
Lambda	equation
Lem1	theorem-like
Lem:app_simple	theorem-like
Lemma-L	theorem-like
Lk	equation
Lsigma3	theorem-like
M-pure-case	figure
MPV	definition
MixedMutual	section
P1KP2	figure
PAXPXB	equation
PAXQAX	equation
PEPS-RFP	figure
PEPS-single tensor	figure
PEPS-square-lattice	figure
PEPS-transfer-operator	figure
PPPAXB	equation
PXBAXetc	equation
PXBQXB	equation
Pis	equation
PjKiPj	figure
Projector-Q	figure
Prop:IV.12	theorem-like
PropILILp1	theorem-like
Propproj	equation
PsiPhi	equation
Psipuri	figure
PuriRFP	equation
PuriRFP-BNT	equation
QAXQXB	equation
QkKjs	figure
Qketc	equation
Qketc2	equation
Qks	figure
RFP-gauge	figure
RFPMixedTS	definition
RG	equation
SALZCL	theorem-like
Sec:MPS	section
Sec:MPV	section
Sec:mixed-states	section
Section:Boundary	section
StochT	equation
Strong-RFP	figure
T-and-S-mixed-equiv-pure	figure
TP	equation
TandSforsimple	figure
TheoremZCLPure	theorem-like
Tkn	equation
UMU	equation
UMU-appendix	equation
Ualphabeta	equation
UkU=rl	figure
ZCL	equation
ZCLandSALpure	theorem-like
arrggg	equation
biCF	figure
biCFK	figure
decBSV	equation
decorr	equation
def:Puri-RFP	definition
def:area-law	definition
defRFP	definition
defnbi	definition
defrhoNComm	definition
entropiesj	equation
eq-Appendix:II:A=XAX	equation
eq1-proof-main-thm	equation
eq1:proof.IV.12	figure
eq2-proof-main-thm	equation
eq2:proof.IV.12	equation
eq3:proof.IV.12	equation
eq:1	equation
eq:II:A=XAX	equation
eq:III_MPDOform	figure
eq:III_MPSRFP	equation
eq:III_isometry	equation
eq:III_varphi	equation
eq:II_ABasicTensors	equation
eq:II_Aiplusk1	equation
eq:II_CF1	equation
eq:II_Etilde	equation
eq:II_Psi_k	equation
eq:II_TPLambda	equation
eq:II_X	equation
eq:II_XAX	figure
eq:II_auxcor	equation
eq:MPDO-Puri-1	equation
eq:Smap	equation
eq:Tmap	equation
eq:algebra	equation
eq:algebra-appendix	equation
eq:app_aux	equation
eq:appendix-CPM	equation
eq:basic-vectors-RFP-pure	equation
eq:equivalence-relation-RFP-pure	figure
eq:gibbs-sal	equation
eq:parent	equation
eqV	theorem-like
eq_III_NT_RFP	equation
equalMPS	theorem-like
etakhetc	figure
etarl	figure
expression	equation
formK	figure
generateMPDO	figure
graphUMU	figure
iCFK	figure
idempotent	equation
idempotent-appendix	equation
injectivity	figure
keyformula	figure
lem:charact-NT-pure-RFP	theorem-like
lemmus	theorem-like
lkrk	figure
prop2to3	theorem-like
prop2to5	theorem-like
prop3to4	theorem-like
prop4to2	theorem-like
prop:char-BNT	theorem-like
propSN	theorem-like
propblockinj	theorem-like
propsimple	theorem-like
rank-Fibonacci	equation
rel	equation
rhoNComm	equation
rhoNCommv2	equation
scprod	equation
section:graphical	section
sigma3	equation
sigma3bka	figure
sigmaNK2	equation
sigmaNKj	equation
strongj	equation
sumstron	equation
thm1	theorem-like
thm:Fundamental-CFII	theorem-like
thm:IV.13	theorem-like
thm:charact-MPS	theorem-like
thm:main-MPS	theorem-like
thm:main-simple	theorem-like
thm:renormalization-flow	theorem-like
tralktrrk	equation
varphiPAXB	equation
