label	line	result_anchor	anchor_regex
eq:II_auxcor	358	Corollary 2.11	(?<![A-Za-z0-9])Corollary 2\.11(?![0-9]|\.[0-9])
AA=A	401	Theorem 3.1	(?<![A-Za-z0-9])Theorem 3\.1(?![0-9]|\.[0-9])
III_CFI_RFP	546	Theorem 3.11	(?<![A-Za-z0-9])Theorem 3\.11(?![0-9]|\.[0-9])
eq:III_isometry	551	Theorem 3.11	(?<![A-Za-z0-9])Theorem 3\.11(?![0-9]|\.[0-9])
K=MM	854	Theorem 4.9	(?<![A-Za-z0-9])Theorem 4\.9(?![0-9]|\.[0-9])
KxKy=0	866	Theorem 4.9	(?<![A-Za-z0-9])Theorem 4\.9(?![0-9]|\.[0-9])
UkU=rl	872	Theorem 4.9	(?<![A-Za-z0-9])Theorem 4\.9(?![0-9]|\.[0-9])
etakhetc	877	Theorem 4.9	(?<![A-Za-z0-9])Theorem 4\.9(?![0-9]|\.[0-9])
tralktrrk	882	Theorem 4.9	(?<![A-Za-z0-9])Theorem 4\.9(?![0-9]|\.[0-9])
PsiPhi	887	Theorem 4.9	(?<![A-Za-z0-9])Theorem 4\.9(?![0-9]|\.[0-9])
UMU	948	Proposition 4.13	(?<![A-Za-z0-9])Proposition 4\.13(?![0-9]|\.[0-9])
eq:algebra	978	Theorem 4.14	(?<!proof of )(?<![A-Za-z0-9])Theorem 4\.14(?![0-9]|\.[0-9])
idempotent	982	Theorem 4.14	(?<!proof of )(?<![A-Za-z0-9])Theorem 4\.14(?![0-9]|\.[0-9])
Ualphabeta	988	Theorem 4.14	(?<!proof of )(?<![A-Za-z0-9])Theorem 4\.14(?![0-9]|\.[0-9])
scprod	1086	Appendix A's overlap lemma	(?<![A-Za-z0-9])Appendix A's overlap lemma(?![A-Za-z0-9])
rel	1096	Appendix A's overlap lemma	(?<![A-Za-z0-9])Appendix A's overlap lemma(?![A-Za-z0-9])
eq-Appendix:II:A=XAX	1139	Proposition 2.7	(?<![A-Za-z0-9])Proposition 2\.7(?![0-9]|\.[0-9])
eq:app_aux	1159	Lemma A.5	(?<![A-Za-z0-9])Lemma A\.5(?![0-9]|\.[0-9])
eq:II_auxcor	1176	Appendix A restatement	(?<![A-Za-z0-9])Appendix A restatement(?![A-Za-z0-9])
eq_III_NT_RFP	1277	Appendix B's RFP characterization	(?<![A-Za-z0-9])Appendix B's RFP characterization(?![A-Za-z0-9])
sigma3	1355	Lemma Lsigma3	(?<![A-Za-z0-9])Lemma Lsigma3(?![0-9]|\.[0-9])
Qketc	1421	Lemma propSN	(?<![A-Za-z0-9])Lemma propSN(?![A-Za-z0-9])
formK	1436	Lemma propSN	(?<![A-Za-z0-9])Lemma propSN(?![A-Za-z0-9])
etarl	1443	Lemma propSN	(?<![A-Za-z0-9])Lemma propSN(?![A-Za-z0-9])
StochT	1454	Lemma propSN	(?<![A-Za-z0-9])Lemma propSN(?![A-Za-z0-9])
P1KP2	1467	Lemma propSN	(?<![A-Za-z0-9])Lemma propSN(?![A-Za-z0-9])
3to5tcpm	1514	Proposition 3to5	(?<![A-Za-z0-9])Proposition 3to5(?![0-9]|\.[0-9])
expression	1573	Proposition 3to4	(?<![A-Za-z0-9])Proposition 3to4(?![0-9]|\.[0-9])
sigmaNK2	1586	Proposition 3to4	(?<![A-Za-z0-9])Proposition 3to4(?![0-9]|\.[0-9])
eq:gibbs-sal	1608	Proposition 4to2	(?<![A-Za-z0-9])Proposition 4to2(?![0-9]|\.[0-9])
Pis	1683	Appendix C separating-projector lemma	(?<![A-Za-z0-9])Appendix C separating\-projector lemma(?![A-Za-z0-9])
PjKiPj	1688	Appendix C separating-projector lemma	(?<![A-Za-z0-9])Appendix C separating\-projector lemma(?![A-Za-z0-9])
Qks	1700	Appendix C separating-projector lemma	(?<![A-Za-z0-9])Appendix C separating\-projector lemma(?![A-Za-z0-9])
QkKjs	1705	Appendix C separating-projector lemma	(?<![A-Za-z0-9])Appendix C separating\-projector lemma(?![A-Za-z0-9])
Qketc2	1724	Appendix C separating-projector lemma	(?<![A-Za-z0-9])Appendix C separating\-projector lemma(?![A-Za-z0-9])
keyformula	1730	Appendix C separating-projector lemma	(?<![A-Za-z0-9])Appendix C separating\-projector lemma(?![A-Za-z0-9])
generateMPDO	1748	Proposition prop2to3	(?<![A-Za-z0-9])Proposition prop2to3(?![0-9]|\.[0-9])
sigmaNKj	1756	Proposition prop2to3	(?<![A-Za-z0-9])Proposition prop2to3(?![0-9]|\.[0-9])
entropiesj	1768	Proposition prop2to3	(?<![A-Za-z0-9])Proposition prop2to3(?![0-9]|\.[0-9])
sumstron	1773	Proposition prop2to3	(?<![A-Za-z0-9])Proposition prop2to3(?![0-9]|\.[0-9])
strongj	1778	Proposition prop2to3	(?<![A-Za-z0-9])Proposition prop2to3(?![0-9]|\.[0-9])
eq1:proof.IV.12	1838	Lemma C.16	(?<![A-Za-z0-9])Lemma C\.16(?![0-9]|\.[0-9])
UMU-appendix	1866	Proposition 4.13	(?<![A-Za-z0-9])Proposition 4\.13(?![0-9]|\.[0-9])
eq1:proof.IV.12	1882	Proposition 4.13	(?<![A-Za-z0-9])Proposition 4\.13(?![0-9]|\.[0-9])
eq2:proof.IV.12	1890	Proposition 4.13	(?<![A-Za-z0-9])Proposition 4\.13(?![0-9]|\.[0-9])
eq3:proof.IV.12	1903	Proposition 4.13	(?<![A-Za-z0-9])Proposition 4\.13(?![0-9]|\.[0-9])
eq:algebra-appendix	1935	Theorem 4.14	(?<!proof of )(?<![A-Za-z0-9])Theorem 4\.14(?![0-9]|\.[0-9])
idempotent-appendix	1939	Theorem 4.14	(?<!proof of )(?<![A-Za-z0-9])Theorem 4\.14(?![0-9]|\.[0-9])
Figure9	1953	Appendix C.4 proof of Theorem 4.14	(?<![A-Za-z0-9])Appendix C\.4 proof of Theorem 4\.14(?![0-9]|\.[0-9])
eq1-proof-main-thm	2016	Appendix C.4 proof of Theorem 4.14	(?<![A-Za-z0-9])Appendix C\.4 proof of Theorem 4\.14(?![0-9]|\.[0-9])
Figure11	2022	Appendix C.4 proof of Theorem 4.14	(?<![A-Za-z0-9])Appendix C\.4 proof of Theorem 4\.14(?![0-9]|\.[0-9])
